time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-08-19T21:36:14.000Z,56.4945,-156.3732,50,2.5,ml,,,,0.62,ak,ak13854924,2016-08-19T21:51:38.961Z,"87km NNW of Chirikof Island, Alaska",earthquake,0.8,1.3,,,automatic,ak,ak
2016-08-19T21:05:31.880Z,-55.1003,-32.0781,10,4.8,mb,,111,2.687,0.85,us,us10006f9s,2016-08-19T21:22:02.040Z,"299km ESE of Grytviken, South Georgia and the South Sandwich Islands",earthquake,8.4,1.9,0.112,25,reviewed,us,us
2016-08-19T20:37:16.040Z,-55.2071,-32.1117,8.56,5.6,mb,,51,2.7,0.73,us,us10006f9k,2016-08-19T20:58:15.702Z,"South Georgia Island region",earthquake,4.2,4.4,0.054,120,reviewed,us,us
2016-08-19T20:01:26.390Z,37.407,71.7995,163.76,4.2,mb,,86,0.165,1.3,us,us10006f91,2016-08-19T21:38:30.040Z,"16km N of Roshtqal'a, Tajikistan",earthquake,7.6,8.4,0.137,15,reviewed,us,us
2016-08-19T18:29:10.650Z,39.3302,73.0409,47.81,4.4,mb,,172,2.099,0.66,us,us10006f7v,2016-08-19T20:45:11.040Z,"47km SSW of Sary-Tash, Kyrgyzstan",earthquake,5.1,11.9,0.179,9,reviewed,us,us
2016-08-19T17:36:28.000Z,61.6036,-146.3339,23.3,4.2,ml,,,,0.53,ak,ak13853965,2016-08-19T21:50:42.040Z,"52km N of Valdez, Alaska",earthquake,0.2,0.3,,,reviewed,ak,ak
2016-08-19T17:33:40.740Z,-55.209,-32.103,5.14,5.7,mwb,,31,2.705,0.69,us,us10006f6x,2016-08-19T21:01:53.000Z,"South Georgia Island region",earthquake,8.5,2.5,0.055,32,reviewed,us,us
2016-08-19T17:33:27.000Z,59.0357,-152.4349,50,2.7,ml,,,,0.43,ak,ak13853957,2016-08-19T18:03:38.441Z,"84km SW of Homer, Alaska",earthquake,0.3,0.6,,,automatic,ak,ak
2016-08-19T16:22:16.080Z,39.3426666,-122.8181686,-0.58,2.54,md,17,118,0.3398,0.25,nc,nc72680456,2016-08-19T16:23:52.892Z,"21km NNE of Upper Lake, California",earthquake,0.55,3.34,0.14,12,automatic,nc,nc
2016-08-19T15:58:04.500Z,19.1615,-64.6727,12,2.5,Md,3,316.8,0.74111011,0.03,pr,pr16232006,2016-08-19T19:45:23.707Z,"82km N of Road Town, British Virgin Islands",earthquake,4.4,6.1,0,2,reviewed,pr,pr
