depth,mag,magType,nst,gap,dmin,,,,,place,,horizontalError,depthError,magError,magNst
1.45,1.91,md,17,121,0.01161,,,,,"2km NE of The Geysers, California",,0.32,0.45,0.15,7
100,2.6,ml,,,,,,,,"71km W of Anchor Point, Alaska",,0.7,0.6,,
100,1.5,ml,,,,,,,,"82km NNW of Talkeetna, Alaska",,1.2,1.4,,
10.7,1.3,ml,14,159.25,0.037,,,,,"59km E of Big Pine, California",,,,,
2.08,1.33,md,22,71,0.007754,,,,,"6km NW of The Geysers, California",,0.24,0.36,0.14,7
0.85,1.98,md,22,78,0.01421,,,,,"11km WNW of Cobb, California",,0.19,0.38,0.04,9
1.07,1.33,md,11,136,0.01359,,,,,"3km ESE of The Geysers, California",,0.31,0.42,0.2,9
9.48,1.44,ml,10,165,0.09742,,,,,"4km NNW of Muscoy, CA",,0.96,0.9,0.25,16
80,2,ml,,,,,,,,"45km S of Redoubt Volcano, Alaska",,0.4,0.5,,
45.12,4.4,mb,,134,0.886,,,,,"61km ESE of Namie, Japan",,7.8,8,0.063,72
100,1.5,ml,,,,,,,,"61km W of Anchor Point, Alaska",,0.7,0.7,,
1.06,1.38,ml,15,95,0.1638,,,,,"17km NE of Olancha, CA",,0.51,1.77,0.181,16
5,3.6,mb_lg,,59,0.243,,,,,"4km SE of Fairview, Oklahoma",,1.2,2,0.053,92
5,2.8,ml,,53,0.186,,,,,"15km NNW of Perry, Oklahoma",,0.8,1.9,0.059,38
115.89,4.5,mb,,91,4.14,,,,,"37km NE of Goroka, Papua New Guinea",,7.9,8.1,0.092,35
5,0.9,ml,,,,,,,,"113km W of Cantwell, Alaska",,0.6,0.6,,
40,1.3,ml,,,,,,,,"9km NNW of Meadow Lakes, Alaska",,0.6,1.5,,
1.37,0.56,md,7,115,0.007144,,,,,"7km W of Cobb, California",,0.4,1.31,,1
100,1.8,ml,,,,,,,,"76km WSW of Anchor Point, Alaska",,0.6,0.5,,
0.58,1.41,ml,20,63,0.02786,,,,,"14km SSE of Home Gardens, CA",,0.32,31.61,0.34,19
7.8,4,mb,,76,1.707,,,,,"15km WNW of Yazihan, Turkey",,6.7,6.5,0.123,18
1.48,0.84,md,9,75,0.004835,,,,,"4km WNW of Cobb, California",,0.44,0.45,0.07,4
5,1,ml,,,,,,,,"125km S of Tanana, Alaska",,0.3,0.5,,
15,0.6,ml,,,,,,,,"32km NNE of North Nenana, Alaska",,0.3,0.2,,
20,1.8,ml,,,,,,,,"46km ENE of Bear Creek, Alaska",,0.4,0.3,,
4.88,1.58,ml,65,46,0.04777,,,,,"4km N of Big Bear City, CA",,0.13,0.4,0.13,25
200.09,4.8,mb,,56,3.188,,,,,"36km SSE of Agrihan, Northern Mariana Islands",,9.8,6.8,0.047,138
27.58,4.8,mb,,189,2.666,,,,,"118km WNW of Sinabang, Indonesia",,3,6.2,0.083,45
1.19,0.53,ml,8,89,0.0186,,,,,"20km ESE of Three Rivers, Oregon",,0.43,0.42,0.154,4
4.51,2.49,md,33,101,0.0496,,,,,"24km SE of Mammoth Lakes, California",,0.27,0.72,0.25,30
50,2.9,ml,,,,,,,,"48km WNW of Larsen Bay, Alaska",,0.3,0.5,,
-0.82,1.34,ml,20,65,0.1085,,,,,"5km NNW of Boron, CA",,0.39,31.61,0.115,21
15,1.4,ml,,,,,,,,"32km NNE of Badger, Alaska",,0.3,0.2,,
4.24,0.85,ml,10,138,0.2523,,,,,"32km ENE of Quinault Census Designated Place, Washington",,0.52,16.67,0.207,6
7.9,0.1,ml,7,212.97,0.094,,,,,"45km SSW of Goldfield, Nevada",,,3.1,1.13,6
151.02,4.5,mb,,97,1.25,,,,,"44km S of Jarm, Afghanistan",,6.7,7.8,0.115,22
